"ferme","vis","abHOSP","int500","ext500","for500","eau500","supbat500","peribat500m","perim500km"
36,1,5,82.06687598,2.35255447,1.61090808,4.01019367,1.269650717,3214.27944,3.21427944
37,1,1,81.04774028,3.09280203,4.09968222,0.5324244,1.055682088,2819.97225,2.81997225
38,1,1,29.70611664,16.26213767,46.27841707,0,0.924833995,2208.90949,2.20890949
39,1,9,40.42278649,32.82007166,0.91915927,0,2.033821651,5155.67891,5.15567891
40,1,0,31.45310337,23.1906068,39.12607845,0.04093337,0.04912426,89.1648,0.0891648
1,2,2,88.25438839,1.25824363,5.49131002,0.0533557,0.399197538,902.73986,0.90273986
2,2,3,0.490269668,53.73130785,33.84377449,0,0.751139219,1562.46887,1.56246887
3,2,0,6.19360907,39.75256646,42.4193062,2.33152988,0.439981125,1018.51441,1.01851441
4,2,2,4.30660593,77.47674818,12.72667348,0.0698056,0.549078229,1116.54792,1.11654792
5,2,0,0,30.74461691,60.56058195,0.03724422,0.27780715,819.92175,0.81992175
6,2,7,13.08274438,63.22034474,16.17788103,0.02149882,0.315817036,914.44459,0.91444459
7,2,18,46.1795854,32.15929714,14.04796846,0.2454738,0.260693131,651.06699,0.65106699
8,2,9,43.27769309,29.10147746,0,0,1.145560598,2174.18584,2.17418584
9,2,0,0,45.38514527,47.91234344,0.062852219,0.220980545,666.98345,0.66698345
10,2,13,94.38981948,2.21132418,0.17920843,0.81504147,0.036564552,94.75607,0.09475607
11,2,0,18.19218043,52.90332368,10.80574404,0,0.519480657,977.88957,0.97788957
12,2,0,0,75.08393387,17.72328571,3.36906851,0.1236432,313.44753,0.31344753
13,2,0,0,39.92018966,50.05158463,0.08107706,0.501344044,1148.92541,1.14892541
14,2,1,11.86800718,23.95637404,54.65073121,0.12318251,0.727762963,1486.89595,1.48689595
15,2,1,39.17627135,38.51277169,16.71884539,0.71369282,0.572379716,1153.97888,1.15397888
16,2,11,58.90892422,9.55139655,27.25071542,1.1810984,0.321528268,728.76838,0.72876838
17,2,9,52.26675976,14.74928534,4.87472617,1.67952361,1.868562739,3406.89728,3.40689728
18,2,0,34.13983549,37.06155607,23.2344895,0,0.312498693,949.76204,0.94976204
19,2,16,72.25594792,9.71753193,4.87206375,0.07846421,0.680431565,1802.62197,1.80262197
20,2,4,70.30161896,6.77060932,4.15749883,0.85291679,0.993966055,2241.61109,2.24161109
21,2,0,5.2664782,69.43029745,15.54738893,0,0.213599825,686.64419,0.68664419
22,2,5,0.00141115,85.57301301,8.6241525,0,0.406400389,1044.93724,1.04493724
