"nest","prov","firstegg","jul","year"
"1000172","ON","2002-05-30",150,2002
"1000189","QC","2002-06-12",163,2002
"100034","ON","1956-06-14",165,1956
"100035","ON","1956-06-23",174,1956
"100037","ON","1957-06-01",152,1957
"100038","ON","1958-06-07",158,1958
"100041","ON","1961-06-04",155,1961
"100042","ON","1962-05-29",149,1962
"100043","ON","1962-05-24",144,1962
"100044","ON","1962-05-31",151,1962
"100045","ON","1964-05-26",146,1964
"100046","ON","1965-05-28",148,1965
"100047","ON","1965-06-02",153,1965
"100048","ON","1965-06-02",153,1965
"100049","ON","1965-06-04",155,1965
"100050","ON","1965-07-04",185,1965
"100051","ON","1965-06-07",158,1965
"100052","ON","1965-06-14",165,1965
"100053","ON","1966-06-02",153,1966
"100055","ON","1967-06-04",155,1967
"100056","ON","1967-05-31",151,1967
"1000573","ON","2002-06-05",156,2002
"1000576","ON","2002-06-05",156,2002
"1000578","ON","2002-05-31",151,2002
"100060","ON","1968-06-07",158,1968
"100061","ON","1969-05-25",145,1969
"100063","ON","1971-06-03",154,1971
"100064","ON","1971-06-12",163,1971
"100065","ON","1972-06-24",175,1972
"100066","ON","1972-06-07",158,1972
"100067","ON","1973-05-25",145,1973
"100068","ON","1973-05-29",149,1973
"100069","ON","1973-06-05",156,1973
"100070","ON","1973-05-27",147,1973
"100071","ON","1974-06-01",152,1974
"100073","ON","1975-06-01",152,1975
"100075","ON","1975-05-29",149,1975
"100076","ON","1975-06-17",168,1975
"100078","ON","1977-06-13",164,1977
"1000781","ON","2001-06-05",156,2001
"1000783","ON","2001-05-30",150,2001
"1000785","ON","2001-05-28",148,2001
"1000786","ON","2001-06-05",156,2001
"100079","ON","1977-06-04",155,1977
"100080","ON","1982-05-25",145,1982
"100081","ON","1982-05-21",141,1982
"100082","ON","1982-05-25",145,1982
"100083","ON","1982-05-28",148,1982
"100084","ON","1982-06-26",177,1982
"100086","ON","1983-06-01",152,1983
"100087","ON","1983-05-29",149,1983
"100088","ON","1983-05-18",138,1983
"100090","ON","1983-06-04",155,1983
"1000909","ON","2001-06-04",155,2001
"100091","ON","1983-06-04",155,1983
"100092","ON","1985-05-16",136,1985
"100093","ON","1985-05-21",141,1985
"100094","ON","1985-05-22",142,1985
"100095","ON","1985-05-26",146,1985
"100096","ON","1985-05-28",148,1985
"100097","ON","1985-06-30",181,1985
"100098","ON","1985-05-23",143,1985
"100099","ON","1985-06-04",155,1985
"100100","ON","1985-05-29",149,1985
"100101","ON","1985-06-11",162,1985
"100102","ON","1985-05-30",150,1985
"100103","ON","1985-06-01",152,1985
"100104","ON","1987-05-22",142,1987
"100105","ON","1987-05-26",146,1987
"100106","ON","1987-05-17",137,1987
"100107","ON","1987-05-19",139,1987
"100108","ON","1989-05-28",148,1989
"100109","ON","1989-05-28",148,1989
"100110","ON","1990-05-28",148,1990
"100111","ON","1990-05-26",146,1990
"100112","ON","1990-05-22",142,1990
"100113","ON","1991-05-21",141,1991
"100114","ON","1992-05-25",145,1992
"100115","ON","1992-05-27",147,1992
"100125","ON","1955-06-05",156,1955
"100126","ON","1957-06-21",172,1957
"100127","ON","1957-06-13",164,1957
"100128","ON","1961-05-25",145,1961
"100129","ON","1962-05-21",141,1962
"100130","ON","1962-06-02",153,1962
"100131","ON","1962-05-27",147,1962
"1001319","ON","2001-05-11",131,2001
"100132","ON","1963-06-10",161,1963
"100133","ON","1968-06-07",158,1968
"100134","ON","1968-05-29",149,1968
"100135","ON","1969-05-21",141,1969
"100136","ON","1969-05-23",143,1969
"100137","ON","1974-06-23",174,1974
"100138","ON","1977-05-16",136,1977
"100139","ON","1979-05-24",144,1979
"100140","ON","1979-05-30",150,1979
"100141","ON","1981-05-26",146,1981
"100142","ON","1981-06-04",155,1981
"100143","ON","1981-06-18",169,1981
"100151","ON","1975-06-12",163,1975
"100152","ON","1976-06-22",173,1976
"100153","ON","1976-06-19",170,1976
"100154","ON","1977-06-12",163,1977
"100155","ON","1977-06-17",168,1977
"100156","ON","1977-06-25",176,1977
"100157","ON","1977-06-03",154,1977
"100159","ON","1978-05-31",151,1978
"100160","ON","1978-06-02",153,1978
"100161","ON","1978-05-29",149,1978
"100162","ON","1978-06-11",162,1978
"100163","ON","1978-06-05",156,1978
"100164","ON","1978-05-20",140,1978
"100165","ON","1978-06-04",155,1978
"100166","ON","1978-06-18",169,1978
"100167","ON","1979-06-05",156,1979
"100168","ON","1979-06-07",158,1979
"100171","ON","1982-06-07",158,1982
"100172","ON","1982-05-28",148,1982
"100173","ON","1988-06-10",161,1988
"100174","ON","1988-06-10",161,1988
"100185","ON","1950-06-19",170,1950
"1001854","ON","2001-05-27",147,2001
"1001855","ON","2001-06-05",156,2001
"1001856","ON","2001-06-09",160,2001
"100187","ON","1963-05-31",151,1963
"100188","ON","1966-06-14",165,1966
"100189","ON","1966-06-13",164,1966
"100190","ON","1966-05-31",151,1966
"100191","ON","1959-06-04",155,1959
"100192","ON","1967-06-03",154,1967
"100193","ON","1967-06-06",157,1967
"100195","ON","1975-06-01",152,1975
"1001954","ON","2001-05-08",128,2001
"100196","ON","1976-05-22",142,1976
"100197","ON","1976-06-04",155,1976
"100200","ON","1977-06-09",160,1977
"100201","ON","1979-05-31",151,1979
"100202","ON","1982-06-09",160,1982
"100203","ON","1990-06-06",157,1990
"100205","ON","1971-06-01",152,1971
"100206","ON","1971-05-27",147,1971
"100207","ON","1975-05-21",141,1975
"100208","ON","1975-05-23",143,1975
"100212","ON","1980-05-28",148,1980
"100215","ON","1956-06-08",159,1956
"100217","ON","1961-06-05",156,1961
"100218","ON","1961-05-28",148,1961
"100219","ON","1964-05-31",151,1964
"100220","ON","1964-06-06",157,1964
"100221","ON","1964-05-20",140,1964
"100222","ON","1967-06-19",170,1967
"100223","ON","1968-06-04",155,1968
"100224","ON","1969-05-24",144,1969
"100225","ON","1969-06-10",161,1969
"100226","ON","1969-05-28",148,1969
"100227","ON","1969-05-19",139,1969
"100228","ON","1972-06-02",153,1972
"100229","ON","1974-06-02",153,1974
"100230","ON","1975-06-05",156,1975
"100231","ON","1978-06-11",162,1978
"100232","ON","1979-05-19",139,1979
"100233","ON","1980-06-18",169,1980
"100234","ON","1981-05-30",150,1981
"100235","ON","1982-05-23",143,1982
"100236","ON","1982-05-29",149,1982
"100237","ON","1983-06-03",154,1983
"100238","ON","1983-06-09",160,1983
"100239","ON","1983-06-02",153,1983
"100240","ON","1963-05-27",147,1963
"100242","ON","1964-06-09",160,1964
"100243","ON","1964-06-06",157,1964
"1002430","ON","2001-05-12",132,2001
"100245","ON","1977-06-06",157,1977
"100246","ON","1977-05-31",151,1977
"100247","ON","1977-06-07",158,1977
"100248","ON","1977-07-03",184,1977
"100249","ON","1978-06-01",152,1978
"100250","ON","1978-06-17",168,1978
"100251","ON","1978-06-01",152,1978
"100252","ON","1978-05-29",149,1978
"100253","ON","1978-05-30",150,1978
"100254","ON","1978-06-10",161,1978
"100255","ON","1978-06-04",155,1978
"100256","ON","1978-06-07",158,1978
"100257","ON","1978-06-06",157,1978
"100258","ON","1978-06-03",154,1978
"100260","ON","1979-05-28",148,1979
"100261","ON","1979-05-24",144,1979
"100262","ON","1979-06-04",155,1979
"100263","ON","1979-06-02",153,1979
"100264","ON","1979-06-01",152,1979
"100265","ON","1979-07-01",182,1979
"100266","ON","1979-06-22",173,1979
"100267","ON","1979-06-24",175,1979
"100268","ON","1979-05-28",148,1979
"100269","ON","1979-05-26",146,1979
"100270","ON","1979-06-06",157,1979
"100271","ON","1979-05-29",149,1979
"100272","ON","1979-05-23",143,1979
"100274","ON","1979-06-04",155,1979
"100275","ON","1979-05-27",147,1979
"100276","ON","1979-05-27",147,1979
"100277","ON","1979-05-18",138,1979
"100278","ON","1979-05-25",145,1979
"100279","ON","1979-06-15",166,1979
"100280","ON","1979-06-08",159,1979
"100281","ON","1979-05-22",142,1979
"100282","ON","1979-06-12",163,1979
"100283","ON","1979-06-15",166,1979
"100284","ON","1979-05-31",151,1979
"100286","ON","1979-06-12",163,1979
"100287","ON","1979-06-22",173,1979
"100288","ON","1979-06-26",177,1979
"100289","ON","1979-06-07",158,1979
"100292","ON","1980-06-04",155,1980
"100293","ON","1980-06-21",172,1980
"100294","ON","1980-06-01",152,1980
"100295","ON","1980-05-31",151,1980
"100296","ON","1980-06-01",152,1980
"100297","ON","1980-06-15",166,1980
"100298","ON","1980-06-15",166,1980
"100299","ON","1980-06-22",173,1980
"100301","ON","1980-05-27",147,1980
"100303","ON","1980-07-04",185,1980
"100306","ON","1980-05-23",143,1980
"100307","ON","1980-06-02",153,1980
"100308","ON","1980-06-01",152,1980
"100310","ON","1985-05-16",136,1985
"100311","ON","1993-05-24",144,1993
"100312","ON","1994-06-13",164,1994
"100313","ON","1974-06-13",164,1974
"100314","ON","1975-05-26",146,1975
"100315","ON","1976-06-10",161,1976
"100316","ON","1977-06-09",160,1977
"100317","ON","1977-06-06",157,1977
"100318","ON","1977-05-26",146,1977
"100319","ON","1977-05-25",145,1977
"100321","ON","1978-06-10",161,1978
"100322","ON","1978-06-09",160,1978
"100323","ON","1979-06-08",159,1979
"100325","ON","1987-05-26",146,1987
"100326","ON","1987-06-07",158,1987
"100327","ON","1963-05-30",150,1963
"100403","ON","1955-05-21",141,1955
"100404","ON","1955-05-27",147,1955
"100405","ON","1956-06-09",160,1956
"100406","ON","1966-05-22",142,1966
"100407","ON","1966-05-30",150,1966
"100408","ON","1967-06-19",170,1967
"100409","ON","1967-06-19",170,1967
"100411","ON","1970-05-31",151,1970
"100412","ON","1970-05-20",140,1970
"100413","ON","1971-06-03",154,1971
"100414","ON","1971-05-26",146,1971
"100415","ON","1971-05-25",145,1971
"100416","ON","1971-05-27",147,1971
"100417","ON","1971-05-27",147,1971
"100418","ON","1971-05-26",146,1971
"100419","ON","1971-05-26",146,1971
"100420","ON","1971-05-26",146,1971
"100421","ON","1971-05-26",146,1971
"100422","ON","1971-05-27",147,1971
"100423","ON","1971-06-04",155,1971
"100424","ON","1971-06-02",153,1971
"100425","ON","1971-05-16",136,1971
"100426","ON","1971-05-26",146,1971
"100427","ON","1971-05-16",136,1971
"100428","ON","1971-05-23",143,1971
"100429","ON","1971-05-24",144,1971
"100430","ON","1971-05-23",143,1971
"100432","ON","1975-06-04",155,1975
"100433","ON","1975-05-22",142,1975
"100435","ON","1977-05-29",149,1977
"100436","ON","1977-05-19",139,1977
"100437","ON","1977-06-11",162,1977
"100438","ON","1979-05-22",142,1979
"100440","ON","1979-06-12",163,1979
"100441","ON","1980-06-04",155,1980
"100442","ON","1980-05-31",151,1980
"100443","ON","1980-06-04",155,1980
"100444","ON","1980-06-09",160,1980
"100445","ON","1980-05-31",151,1980
"100446","ON","1981-06-06",157,1981
"100447","ON","1981-05-29",149,1981
"100448","ON","1981-06-11",162,1981
"100449","ON","1981-05-21",141,1981
"100450","ON","1981-06-07",158,1981
"100451","ON","1981-05-29",149,1981
"100452","ON","1982-06-10",161,1982
"100453","ON","1982-05-21",141,1982
"100454","ON","1982-05-27",147,1982
"100455","ON","1982-05-27",147,1982
"100456","ON","1982-06-13",164,1982
"100457","ON","1982-05-30",150,1982
"100458","ON","1984-06-19",170,1984
"100459","ON","1985-06-26",177,1985
"100460","ON","1985-06-03",154,1985
"1004605","ON","2004-06-21",172,2004
"100461","ON","1991-05-25",145,1991
"100462","ON","1991-05-23",143,1991
"100463","ON","1991-05-24",144,1991
"100464","ON","1991-06-02",153,1991
"100465","ON","1991-05-19",139,1991
"100466","ON","1992-05-22",142,1992
"100467","ON","1992-05-19",139,1992
"100468","ON","1992-05-19",139,1992
"100469","ON","1992-05-19",139,1992
"100470","ON","1993-05-19",139,1993
"100471","ON","1993-05-21",141,1993
"100472","ON","1993-06-09",160,1993
"100473","ON","1993-06-15",166,1993
"100474","ON","1993-06-09",160,1993
"100475","ON","1993-06-09",160,1993
"100476","ON","1993-06-10",161,1993
"100477","ON","1993-06-03",154,1993
"100478","ON","1994-05-22",142,1994
"100479","ON","1994-05-22",142,1994
"100480","ON","1994-05-22",142,1994
"100481","ON","1994-05-21",141,1994
"100483","ON","1994-05-21",141,1994
"100484","ON","1994-05-20",140,1994
"100487","ON","1995-05-28",148,1995
"100488","ON","1995-05-27",147,1995
"100489","ON","1995-05-28",148,1995
"100490","ON","1995-05-28",148,1995
"100491","ON","1995-05-29",149,1995
"100496","ON","1966-05-25",145,1966
"100497","ON","1967-05-31",151,1967
"100498","ON","1967-06-02",153,1967
"100499","ON","1973-06-18",169,1973
"100500","ON","1973-06-19",170,1973
"100501","ON","1979-05-29",149,1979
"100503","ON","1979-05-20",140,1979
"100504","ON","1979-05-21",141,1979
"100505","ON","1979-05-29",149,1979
"100506","ON","1980-06-13",164,1980
"100509","ON","1982-06-04",155,1982
"100510","ON","1983-06-02",153,1983
"100511","ON","1990-06-02",153,1990
"100512","ON","1993-05-28",148,1993
"100513","ON","1994-06-28",179,1994
"100514","ON","1998-05-27",147,1998
"100519","ON","1957-06-22",173,1957
"100520","ON","1968-06-10",161,1968
"100521","ON","1974-06-17",168,1974
"100522","ON","1975-06-07",158,1975
"100523","ON","1977-06-06",157,1977
"100524","ON","1982-06-18",169,1982
"100525","ON","1983-06-23",174,1983
"100527","ON","1983-06-13",164,1983
"100528","ON","1983-06-03",154,1983
"100529","ON","1985-06-08",159,1985
"100530","ON","1986-06-09",160,1986
"100531","ON","1994-07-04",185,1994
"100532","ON","1995-06-13",164,1995
"100533","ON","1996-06-23",174,1996
"100534","ON","1997-06-11",162,1997
"100535","ON","1955-06-07",158,1955
"100536","ON","1956-06-14",165,1956
"100537","ON","1957-06-05",156,1957
"100538","ON","1957-06-04",155,1957
"100539","ON","1958-06-04",155,1958
"100540","ON","1960-06-06",157,1960
"100541","ON","1961-06-12",163,1961
"100542","ON","1963-06-02",153,1963
"100543","ON","1963-06-03",154,1963
"100544","ON","1966-06-07",158,1966
"100545","ON","1966-06-10",161,1966
"100546","ON","1966-06-10",161,1966
"100547","ON","1966-06-10",161,1966
"100548","ON","1966-06-12",163,1966
"100549","ON","1969-06-15",166,1969
"100550","ON","1970-06-15",166,1970
"100551","ON","1972-05-31",151,1972
"100553","ON","1984-06-13",164,1984
"100554","ON","1990-05-31",151,1990
"100557","ON","1990-05-28",148,1990
"100558","ON","1991-06-06",157,1991
"100559","ON","1993-05-22",142,1993
"100560","ON","1998-06-07",158,1998
"100569","ON","1982-05-25",145,1982
"100570","ON","1984-05-25",145,1984
"100571","ON","1994-06-04",155,1994
"100572","ON","1994-05-21",141,1994
"100573","ON","1996-06-05",156,1996
"100575","ON","1950-05-25",145,1950
"100576","ON","1950-05-28",148,1950
"100577","ON","1951-05-18",138,1951
"100578","ON","1959-05-15",135,1959
"100579","ON","1961-05-18",138,1961
"100580","ON","1959-05-15",135,1959
"100582","ON","1982-06-24",175,1982
"1005854","ON","2005-06-12",163,2005
"1005858","ON","2005-05-28",148,2005
"100613","ON","1955-05-14",134,1955
"100614","ON","1955-06-06",157,1955
"100616","ON","1956-06-04",155,1956
"100617","ON","1957-05-21",141,1957
"100618","ON","1957-05-27",147,1957
"100619","ON","1958-06-17",168,1958
"100620","ON","1959-06-05",156,1959
"100624","ON","1969-05-24",144,1969
"100625","ON","1969-05-31",151,1969
"100629","ON","1977-06-05",156,1977
"100630","ON","1977-05-21",141,1977
"100631","ON","1978-06-04",155,1978
"100632","ON","1978-05-25",145,1978
"100633","ON","1980-06-02",153,1980
"100634","ON","1981-06-12",163,1981
"100635","ON","1982-06-21",172,1982
"100636","ON","1982-06-06",157,1982
"100637","ON","1982-06-23",174,1982
"100638","ON","1982-05-14",134,1982
"100639","ON","1982-05-13",133,1982
"100640","ON","1982-05-26",146,1982
"100641","ON","1982-05-24",144,1982
"100642","ON","1982-05-13",133,1982
"100643","ON","1984-06-14",165,1984
"100645","ON","1964-05-15",135,1964
"100646","ON","1965-05-29",149,1965
"100647","ON","1965-05-27",147,1965
"100648","ON","1965-05-09",129,1965
"100649","ON","1965-05-09",129,1965
"100650","ON","1966-05-20",140,1966
"100651","ON","1966-06-14",165,1966
"100652","ON","1966-06-03",154,1966
"100653","ON","1966-06-06",157,1966
"100654","ON","1966-06-01",152,1966
"100655","ON","1966-06-02",153,1966
"100656","ON","1966-05-28",148,1966
"100657","ON","1966-06-15",166,1966
"100658","ON","1966-06-10",161,1966
"100659","ON","1967-06-06",157,1967
"100660","ON","1967-05-30",150,1967
"100661","ON","1967-05-31",151,1967
"100662","ON","1967-05-31",151,1967
"100663","ON","1967-06-07",158,1967
"100664","ON","1967-06-15",166,1967
"100665","ON","1968-05-25",145,1968
"100666","ON","1968-05-26",146,1968
"100667","ON","1968-05-27",147,1968
"100668","ON","1968-05-30",150,1968
"100669","ON","1968-06-08",159,1968
"1006692","ON","2002-06-07",158,2002
"100670","ON","1968-05-27",147,1968
"100671","ON","1968-06-03",154,1968
"100673","ON","1968-05-28",148,1968
"100674","ON","1968-05-20",140,1968
"100675","ON","1968-05-18",138,1968
"100676","ON","1968-06-16",167,1968
"100677","ON","1968-06-05",156,1968
"100678","ON","1968-05-31",151,1968
"100679","ON","1968-06-15",166,1968
"100680","ON","1968-06-06",157,1968
"100681","ON","1968-06-06",157,1968
"100682","ON","1968-06-03",154,1968
"100683","ON","1968-05-29",149,1968
"100684","ON","1968-06-03",154,1968
"100685","ON","1968-06-15",166,1968
"100686","ON","1968-06-03",154,1968
"100687","ON","1968-06-06",157,1968
"100688","ON","1968-05-25",145,1968
"100689","ON","1968-05-24",144,1968
"100690","ON","1968-06-04",155,1968
"100691","ON","1968-06-03",154,1968
"100692","ON","1968-06-09",160,1968
"100693","ON","1968-06-04",155,1968
"100694","ON","1968-06-02",153,1968
"100696","ON","1968-06-11",162,1968
"100697","ON","1968-05-22",142,1968
"100698","ON","1968-06-02",153,1968
"100699","ON","1968-06-10",161,1968
"100701","ON","1968-06-01",152,1968
"100702","ON","1968-05-28",148,1968
"100703","ON","1968-06-05",156,1968
"100704","ON","1968-06-03",154,1968
"1007046","ON","2003-05-22",142,2003
"100705","ON","1968-05-25",145,1968
"100708","ON","1968-06-03",154,1968
"100709","ON","1968-05-17",137,1968
"100710","ON","1968-05-27",147,1968
"100711","ON","1968-05-27",147,1968
"100712","ON","1969-05-26",146,1969
"100713","ON","1969-05-22",142,1969
"100714","ON","1969-05-31",151,1969
"100715","ON","1969-05-27",147,1969
"100716","ON","1969-05-23",143,1969
"100718","ON","1969-06-01",152,1969
"100719","ON","1969-05-27",147,1969
"100720","ON","1969-05-23",143,1969
"100723","ON","1969-06-05",156,1969
"100724","ON","1969-06-13",164,1969
"100727","ON","1969-06-12",163,1969
"100728","ON","1969-05-27",147,1969
"100729","ON","1969-05-27",147,1969
"100730","ON","1969-05-25",145,1969
"100731","ON","1969-05-27",147,1969
"100733","ON","1969-05-22",142,1969
"100735","ON","1970-05-25",145,1970
"100736","ON","1970-06-14",165,1970
"100737","ON","1970-05-25",145,1970
"100738","ON","1970-05-24",144,1970
"100739","ON","1970-05-28",148,1970
"100740","ON","1970-06-05",156,1970
"100741","ON","1970-06-14",165,1970
"100742","ON","1970-05-30",150,1970
"100743","ON","1970-05-29",149,1970
"100746","ON","1970-06-03",154,1970
"100749","ON","1970-05-23",143,1970
"100750","ON","1970-05-23",143,1970
"100751","ON","1970-05-27",147,1970
"1007512","ON","2002-06-19",170,2002
"100752","ON","1970-05-24",144,1970
"100753","ON","1970-06-12",163,1970
"100754","ON","1970-05-23",143,1970
"100755","ON","1970-05-31",151,1970
"100756","ON","1971-05-27",147,1971
"100757","ON","1971-06-05",156,1971
"1007581","ON","2004-06-02",153,2004
"1008338","ON","2003-06-14",165,2003
"100886","ON","1950-05-25",145,1950
"100887","ON","1950-06-06",157,1950
"100888","ON","1950-06-12",163,1950
"100889","ON","1952-05-23",143,1952
"100890","ON","1952-05-23",143,1952
"100891","ON","1952-05-22",142,1952
"100892","ON","1952-05-23",143,1952
"100893","ON","1952-05-23",143,1952
"100894","ON","1952-06-28",179,1952
"100895","ON","1952-05-23",143,1952
"100896","ON","1954-07-11",192,1954
"100897","ON","1955-05-22",142,1955
"100898","ON","1956-06-09",160,1956
"100899","ON","1956-06-10",161,1956
"100900","ON","1959-05-31",151,1959
"100901","ON","1961-06-17",168,1961
"100902","ON","1962-06-14",165,1962
"100903","ON","1962-06-08",159,1962
"100904","ON","1965-05-24",144,1965
"100905","ON","1965-05-25",145,1965
"100906","ON","1966-06-14",165,1966
"100907","ON","1966-06-02",153,1966
"100909","ON","1969-06-20",171,1969
"100910","ON","1970-06-20",171,1970
"100911","ON","1972-06-03",154,1972
"100912","ON","1973-06-05",156,1973
"100913","ON","1975-06-23",174,1975
"100914","ON","1975-06-26",177,1975
"100915","ON","1976-06-07",158,1976
"1009150","ON","2005-06-13",164,2005
"100917","ON","1978-06-22",173,1978
"100918","ON","1978-06-02",153,1978
"100919","ON","1981-06-12",163,1981
"100920","ON","1984-06-07",158,1984
"100921","ON","1984-06-04",155,1984
"100922","ON","1984-05-13",133,1984
"100923","ON","1986-06-10",161,1986
"100926","ON","1995-06-06",157,1995
"100927","ON","1996-06-08",159,1996
"100928","ON","1997-05-27",147,1997
"100929","ON","1997-06-29",180,1997
"100930","ON","1998-05-23",143,1998
"100984","ON","1995-05-31",151,1995
"100985","ON","1977-05-23",143,1977
"1009910","ON","2005-06-04",155,2005
"100995","ON","1974-06-05",156,1974
"100996","ON","1972-06-15",166,1972
"100997","ON","1977-05-25",145,1977
"100999","ON","1977-05-30",150,1977
"101000","ON","1977-06-05",156,1977
"101001","ON","1977-07-25",206,1977
"101002","ON","1978-05-30",150,1978
"101004","ON","1978-06-02",153,1978
"1010327","ON","2005-05-29",149,2005
"1010464","ON","2005-05-29",149,2005
"1011652","ON","2006-06-28",179,2006
"1011672","ON","2007-06-05",156,2007
"1032423","ON","2001-05-29",149,2001
"1032471","ON","2003-05-26",146,2003
"1032724","ON","2004-05-19",139,2004
"1032770","ON","2005-06-03",154,2005
"1032771","ON","2005-05-28",148,2005
"1032773","ON","2005-05-28",148,2005
"1032786","ON","2005-06-16",167,2005
"1032886","ON","2005-06-06",157,2005
"1033318","ON","2005-05-25",145,2005
"1033338","ON","2005-05-29",149,2005
"1033339","ON","2005-05-29",149,2005
"1033340","ON","2005-05-25",145,2005
"1033342","ON","2005-05-19",139,2005
"1033343","ON","2005-05-21",141,2005
"1033438","ON","2005-06-10",161,2005
"1033452","ON","2002-06-02",153,2002
"1033682","ON","2005-05-23",143,2005
"1033847","ON","2003-06-04",155,2003
"1034305","ON","2003-06-11",162,2003
"1034322","ON","2003-05-27",147,2003
"1034326","ON","2003-05-27",147,2003
"1034390","ON","2005-05-23",143,2005
"1034983","ON","2004-06-04",155,2004
"1035005","ON","2003-06-05",156,2003
"1035671","ON","2004-06-12",163,2004
"1035793","ON","2003-06-01",152,2003
"1035981","ON","2004-05-28",148,2004
"1035988","ON","2004-05-30",150,2004
"1036010","ON","2005-06-07",158,2005
"1036129","ON","2003-05-30",150,2003
"1036130","ON","2003-05-27",147,2003
"1036132","ON","2003-06-01",152,2003
"1036140","ON","2004-06-07",158,2004
"1036266","ON","2004-06-12",163,2004
"1036447","ON","2003-05-30",150,2003
"1036450","ON","2003-06-01",152,2003
"1036518","ON","2004-05-20",140,2004
"1036622","ON","2004-05-29",149,2004
"1037374","ON","2005-06-08",159,2005
"1037376","ON","2005-05-27",147,2005
"1037380","ON","2005-06-24",175,2005
"1037383","ON","2005-06-27",178,2005
"1038488","ON","2008-05-16",136,2008
"1039138","ON","2008-05-21",141,2008
"1039141","ON","2008-05-21",141,2008
"1039147","ON","2008-05-28",148,2008
"1039151","ON","2008-05-22",142,2008
"1039154","ON","2008-06-01",152,2008
"1039155","ON","2008-05-25",145,2008
"1039156","ON","2008-06-04",155,2008
"1039158","ON","2008-05-24",144,2008
"1039162","ON","2008-05-31",151,2008
"1039163","ON","2008-05-25",145,2008
"1039171","ON","2008-05-25",145,2008
"1039173","ON","2008-06-02",153,2008
"1039178","ON","2008-05-16",136,2008
"1039179","ON","2008-05-28",148,2008
"1039196","ON","2008-06-25",176,2008
"1039197","ON","2008-05-25",145,2008
"1039199","ON","2008-05-25",145,2008
"1039200","ON","2008-05-15",135,2008
"1039205","ON","2008-06-13",164,2008
"1039238","ON","2008-06-03",154,2008
"1039254","ON","2008-06-21",172,2008
"1039262","ON","2008-06-28",179,2008
"1039276","ON","2008-05-22",142,2008
"1039360","ON","2008-06-10",161,2008
"1039361","ON","2008-06-19",170,2008
"1039362","ON","2008-06-16",167,2008
"1039718","ON","2008-06-20",171,2008
"1039743","ON","2009-07-01",182,2009
"1039752","ON","2008-06-03",154,2008
"1039810","ON","2008-06-28",179,2008
"1039813","ON","2008-05-21",141,2008
"1039817","ON","2008-06-03",154,2008
"1039821","ON","2008-05-25",145,2008
"1039823","ON","2008-05-17",137,2008
"1039825","ON","2008-06-02",153,2008
"1039838","ON","2008-05-22",142,2008
"1039840","ON","2008-06-03",154,2008
"1039842","ON","2008-05-23",143,2008
"1039843","ON","2008-05-30",150,2008
"1039849","ON","2008-06-12",163,2008
"1039854","ON","2008-06-09",160,2008
"1039855","ON","2008-06-01",152,2008
"1039856","ON","2008-06-09",160,2008
"1039860","ON","2008-05-21",141,2008
